Continent	Sex	Religion	D_INTERVIEW	Question_Col	Question Text	Ground Truth	LLAMA Score	LLAMA Explanation	LLAMA No Demography Score
Asia	Male	Muslim	586071022	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	Person X belongs to a rural area in Pakistan, and being a male living in the age group of 35-44, has a low educational level and belongs to a low-income household. Given the security concerns in rural areas of Pakistan, it is likely that they have experienced security issues and would prefer to avoid going out at night. So, they would answer with a score of 4.	
Asia	Male	Muslim	360071761	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a 55-64 years old male from rural Indonesia, who primarily speaks Javanese and has primary education, security concerns are likely to be a big deal. Person X might have experienced some issues concerning safety when venturing out at night, hence a score of 4.	
Asia	Male	Orthodox (Russian/Greek/etc.)	398070558	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	Person X is unlikely to avoid going out at night for security reasons, as they are a male from an urban area with upper secondary education and an income of 5 on a scale of 1 to 10. Additionally, they practice Orthodox Christianity, which may not have a significant impact on their attitude towards going out at night.	
Asia	Male	Do not belong to a denomination	446070674	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a Male from Macao SAR, aged 65 years and above, with a Doctoral degree, belonging to a higher income group, I feel relatively safer in my urban area, but acknowledging there could be potential security concerns anytime.	
Asia	Male	Roman Catholic	422070623	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a young male living in an urban area of Lebanon, Person X has a relatively high level of confidence in the security of their surroundings, nonetheless they have had some concerns about going out at night, hence their response is a 3 on the scale of 1 to 5.	
Asia	Male	Protestant	702070841	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	As a young male living in an urban area of Singapore, I feel relatively safe and comfortable moving around at night, but I do take precautions to avoid any potential risks. Therefore, I score a 3.	
Asia	Male	Protestant	360073138	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	Person X, being male, urban and well-educated, may feel relatively safe in the Indonesian countryside at night. However, the low income may indicate a higher likelihood of crime, potentially causing preference for indoor activities.	
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	608070285	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	I sometimes do not go out at night because of security concerns. Although I live in an urban setting, there are areas that are not that safe for single males like me to walk around late at night.	
Asia	Male	Hindu	702071262	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	3	Since Person X is Male, 45-54 years old, born in India, and has a Bachelor's degree, he might have a decent job and a stable income. However, as he is from an urban area in Singapore, he might have some concerns about safety at night, hence the answer of 3.	
Asia	Male	Hindu	50070680	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	Person X, being a male in a rural area of Bangladesh, has an increased likelihood of experiencing security concerns when going out at night, hence the answer should be 4.	
Asia	Female	Other	158070622	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	2	As a 35-44-year-old urban female professional from Taiwan who speaks Minnan/Hokkien and Mandarin Chinese at home and has a bachelor's degree education, I would rate my apprehension towards going out at night for security reasons as a 2 on a scale of 1 to 5, indicating that I am not extremely apprehensive or concerned about it.	
Asia	Female	Other	608070582	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	As a female living in a rural area of the Philippines, Person X may have experienced a relatively high level of safety concerns, especially when outside at night, potentially leading to a higher score.	
Asia	Female	Orthodox (Russian/Greek/etc.)	398070464	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	As a woman in an urban area in Kazakhstan, she may feel cautious about venturing out alone at night due to potential safety risks.	
Asia	Female	Roman Catholic	422070928	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	5.0	4	due to prevailing socio-political instability and crime in urban Lebanon, Person X is cautious when venturing out at night.	
Asia	Female	Roman Catholic	608071056	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	Person X is more likely to feel secure where they live.	
Asia	Female	Buddhist	764071050	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	4	Person X, being a rural female, aged 55-64, who was born and raised in Thailand and lives in a rural area, might be more cautious about going out at night due to safety concerns, therefore scoring 4 on the likelihood of preferring not to go out at night for security reasons.	
Asia	Female	Protestant	344071765	Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	1.0	3	As a 35-44-year-old Cantonese-speaking Protestant female born and raised in Hong Kong SAR, I have a relatively high sense of security when going out at night.	
