D_INTERVIEW	B_COUNTRY	H_URBRURAL	S_INTLANGUAGE	Q260	X003R	Q266	Q267	Q268	Q272	Q275	Q288	Q289
400070599	Jordan	Urban	Arabic	Male	35-44 years	Jordan	Jordan	Jordan	Arabic	Upper secondary education (ISCED 3)	1.0	Muslim
643070061	Russia	Rural	Russian	Male	35-44 years	Russia	Russia	Russia	Other	Post-secondary non-tertiary education (ISCED 4)	5.0	Other
300070442	Greece	Urban	Greek, Modern	Female	45-54 years	Greece	Greece	Greece	Greek, Modern	Upper secondary education (ISCED 3)	3.0	Orthodox (Russian/Greek/etc.)
704070744	Vietnam	Rural	Vietnamese	Female	25-34 years	Vietnam	Vietnam	Vietnam	Vietnamese	Upper secondary education (ISCED 3)	6.0	Do not belong to a denomination
152070428	Chile	Urban	Spanish; Castilian	Female	65 and over	Chile	Chile	Chile	Spanish; Castilian	Upper secondary education (ISCED 3)	5.0	Roman Catholic
818070801	Egypt	Rural	Arabic	Male	25-34 years	Egypt	Egypt	Egypt	Arabic	Primary education (ISCED 1)	6.0	Muslim
630070220	Puerto Rico	Urban	Spanish; Castilian	Female	65 and over	Puerto Rico	Puerto Rico	Puerto Rico	Spanish; Castilian	Upper secondary education (ISCED 3)	4.0	Roman Catholic
764071044	Thailand	Rural	Thai; Central Thai	Female	65 and over	Thailand	Thailand	Thailand	Thai; Central Thai	Primary education (ISCED 1)	4.0	Buddhist
826070048	Great Britain	Rural	English	Female	65 and over	United Kingdom			English			Roman Catholic
558070600	Nicaragua	Urban	Spanish; Castilian	Male	16-24 years	Nicaragua	Nicaragua	Nicaragua	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	7.0	Do not belong to a denomination
434071036	Libya	Rural	Arabic	Female	16-24 years	Libya	Libya	Libya	Arabic	Upper secondary education (ISCED 3)	6.0	Muslim
320070001	Guatemala	Urban	Spanish; Castilian	Female	35-44 years	Guatemala	Guatemala	Guatemala	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	6.0	Roman Catholic
716071137	Zimbabwe	Rural	Shona;chiShona	Male	65 and over	Zimbabwe	Zimbabwe	Zimbabwe	Shona;chiShona	Early childhood education (ISCED 0) / no education	1.0	Do not belong to a denomination
36070055	Australia	Urban	English	Male	55-64 years	Australia	Australia	Australia	English	Post-secondary non-tertiary education (ISCED 4)	8.0	Protestant
196070361	Cyprus	Urban	Greek, Modern	Male	16-24 years	Cyprus	Cyprus	Cyprus	Greek, Modern	Short-cycle tertiary education (ISCED 5)	5.0	Orthodox (Russian/Greek/etc.)
702071634	Singapore	Urban	English	Female	35-44 years	Singapore	Singapore	Singapore	Standard Chinese; Mandarin; Putonghua; Guoyu	Upper secondary education (ISCED 3)	5.0	Do not belong to a denomination
688070565	Serbia	Urban	Serbian	Male	55-64 years	Serbia	Bosnia Herzegovina	Bosnia Herzegovina	Serbian	Post-secondary non-tertiary education (ISCED 4)	8.0	Roman Catholic
400071002	Jordan	Urban	Arabic	Female	55-64 years	Jordan	Jordan	Jordan	Arabic	Upper secondary education (ISCED 3)	1.0	Muslim
360071743	Indonesia	Rural	Indonesian	Male	45-54 years	Indonesia	Indonesia	Indonesia	Javanese	Early childhood education (ISCED 0) / no education	5.0	Muslim
446070813	Macao SAR	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male		Macau SAR	Macau SAR	Macau SAR	Cantonese	Upper secondary education (ISCED 3)	5.0	Do not belong to a denomination
716070405	Zimbabwe	Rural	Shona;chiShona	Female	25-34 years	Zimbabwe	Zimbabwe	Zimbabwe	Shona;chiShona	Upper secondary education (ISCED 3)	3.0	Roman Catholic
218071144	Ecuador	Rural	Spanish; Castilian	Female	35-44 years	Ecuador	Ecuador	Ecuador	Spanish; Castilian	Post-secondary non-tertiary education (ISCED 4)	8.0	Do not belong to a denomination
554070355	New Zealand	Urban	English	Female	65 and over	New Zealand	New Zealand	New Zealand	English	Post-secondary non-tertiary education (ISCED 4)	4.0	Roman Catholic
152070137	Chile	Urban	Spanish; Castilian	Female	35-44 years	Venezuela	Venezuela	Venezuela	Spanish; Castilian	Upper secondary education (ISCED 3)		Roman Catholic
320071195	Guatemala	Rural	Spanish; Castilian	Male	45-54 years	Guatemala	Guatemala	Guatemala	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	5.0	Roman Catholic
504070192	Morocco	Urban	Arabic	Male	25-34 years	Morocco	Morocco	Morocco	Arabic	Bachelor or equivalent (ISCED 6)	8.0	Muslim
862070743	Venezuela	Urban	Spanish; Castilian	Female	25-34 years	Venezuela	Colombia	Colombia	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	5.0	Roman Catholic
51070404	Armenia	Urban	Armenian; Hayeren	Female	35-44 years	Armenia	Armenia	Armenia	Armenian; Hayeren	Master or equivalent (ISCED 7)	8.0	Orthodox (Russian/Greek/etc.)
434070682	Libya	Urban	Arabic	Female	55-64 years	Libya	Libya	Libya	Arabic	Short-cycle tertiary education (ISCED 5)	4.0	Muslim
152070051	Chile	Urban	Spanish; Castilian	Female	55-64 years	Chile	Chile	Chile	Spanish; Castilian	Post-secondary non-tertiary education (ISCED 4)	5.0	Roman Catholic
231070280	Ethiopia	Rural	Amharic	Female	25-34 years	Ethiopia	Ethiopia	Ethiopia	Amharic	Early childhood education (ISCED 0) / no education	8.0	Orthodox (Russian/Greek/etc.)
764070809	Thailand	Urban	Thai; Central Thai	Male	35-44 years	Thailand	Thailand	Thailand	Esan	Primary education (ISCED 1)	5.0	Buddhist
764070662	Thailand	Rural	Thai; Central Thai	Female	35-44 years	Thailand	Thailand	Thailand	Esan	Lower secondary education (ISCED 2)	5.0	Buddhist
764070951	Thailand	Urban	Thai; Central Thai	Male	35-44 years	Thailand	Thailand	Thailand	Thai; Central Thai	Bachelor or equivalent (ISCED 6)	4.0	Buddhist
276071315	Germany	Urban	German	Female	65 and over	Germany	Germany	Germany	German	Lower secondary education (ISCED 2)		Roman Catholic
484071007	Mexico	Urban	Spanish; Castilian	Male	25-34 years	Mexico	Mexico	Mexico	Spanish; Castilian	Upper secondary education (ISCED 3)	6.0	Roman Catholic
32070932	Argentina	Rural	Spanish; Castilian	Female	45-54 years	Argentina			Spanish; Castilian	Primary education (ISCED 1)	7.0	Roman Catholic
630070317	Puerto Rico	Urban	Spanish; Castilian	Male	65 and over	Puerto Rico	Puerto Rico	Puerto Rico	Spanish; Castilian	Short-cycle tertiary education (ISCED 5)	8.0	Roman Catholic
360072756	Indonesia	Urban	Indonesian	Female	55-64 years	Indonesia	Indonesia	Indonesia	Indonesian	Lower secondary education (ISCED 2)	3.0	Muslim
398071216	Kazakhstan	Urban	Kazakh	Male	55-64 years	Kazakhstan	Kazakhstan	Kazakhstan	Kazakh	Post-secondary non-tertiary education (ISCED 4)	6.0	Muslim
124070342	Canada	Urban	French	Female	55-64 years	Canada	Canada	Canada	French	Bachelor or equivalent (ISCED 6)	8.0	Do not belong to a denomination
566070380	Nigeria	Urban	Yoruba	Male	55-64 years	Nigeria	Nigeria	Nigeria	Yoruba	Upper secondary education (ISCED 3)	10.0	Muslim
170070112	Colombia	Urban	Spanish; Castilian	Male	55-64 years	Colombia	Colombia	Colombia	Spanish; Castilian	Primary education (ISCED 1)	1.0	Other Christian (Evangelical/Pentecostal/Fee church/etc.)
51070691	Armenia	Rural	Armenian; Hayeren	Male	25-34 years	Armenia	Armenia	Armenia	Armenian; Hayeren	Bachelor or equivalent (ISCED 6)	7.0	Do not belong to a denomination
320070164	Guatemala	Rural	Spanish; Castilian	Female	25-34 years	Guatemala	Guatemala	Guatemala	Spanish; Castilian	Early childhood education (ISCED 0) / no education		Roman Catholic
203070495	Czechia	Rural	Czech	Male	35-44 years	Czech Rep.	Czech Rep.	Czech Rep.	Czech	Upper secondary education (ISCED 3)	6.0	Do not belong to a denomination
76070833	Brazil	Urban	Portuguese	Male	45-54 years	Brazil	Brazil	Brazil	Portuguese	Upper secondary education (ISCED 3)	5.0	Roman Catholic
170073125	Colombia	Urban	Spanish; Castilian	Male	35-44 years	Colombia	Colombia	Colombia	Spanish; Castilian	Primary education (ISCED 1)	1.0	Roman Catholic
196070546	Cyprus	Rural	Turkish	Female	16-24 years	Turkey	Turkey	Turkey	Turkish	Post-secondary non-tertiary education (ISCED 4)	6.0	Muslim
643071317	Russia	Rural	Russian	Female	55-64 years	Russia	Russia	Russia	Tatar	Master or equivalent (ISCED 7)		Muslim
124073127	Canada	Urban	French	Female	45-54 years	Canada	Canada	Canada	French	Bachelor or equivalent (ISCED 6)	5.0	Do not belong to a denomination
422071069	Lebanon	Urban	Arabic	Male	16-24 years	Lebanon	Lebanon	Lebanon	Arabic	Upper secondary education (ISCED 3)	3.0	Roman Catholic
