Continent	Sex	Religion	D_INTERVIEW	Question_col
Asia	Male	Muslim	586071022	Q140
Asia	Male	Muslim	398070866	Q140
Asia	Male	Muslim	360071761	Q140
Asia	Male	Muslim	702070735	Q140
Asia	Male	Muslim	398070492	Q140
Asia	Male	Other	702070539	Q140
Asia	Male	Other	158070107	Q140
Asia	Male	Other	392071062	Q140
Asia	Male	Other	158070310	Q140
Asia	Male	Other	158070329	Q140
Asia	Male	Orthodox (Russian/Greek/etc.)	398071204	Q140
Asia	Male	Orthodox (Russian/Greek/etc.)	422070715	Q140
Asia	Male	Orthodox (Russian/Greek/etc.)	398070993	Q140
Asia	Male	Orthodox (Russian/Greek/etc.)	422070921	Q140
Asia	Male	Orthodox (Russian/Greek/etc.)	398070558	Q140
Asia	Male	Do not belong to a denomination	392070326	Q140
Asia	Male	Do not belong to a denomination	446070352	Q140
Asia	Male	Do not belong to a denomination	344070052	Q140
Asia	Male	Do not belong to a denomination	446070674	Q140
Asia	Male	Do not belong to a denomination	344070350	Q140
Asia	Male	Roman Catholic	410070026	Q140
Asia	Male	Roman Catholic	608070307	Q140
Asia	Male	Roman Catholic	702071635	Q140
Asia	Male	Roman Catholic	422070623	Q140
Asia	Male	Roman Catholic	702070271	Q140
Asia	Male	Buddhist	104071184	Q140
Asia	Male	Buddhist	496071218	Q140
Asia	Male	Buddhist	704070808	Q140
Asia	Male	Buddhist	392071298	Q140
Asia	Male	Buddhist	764070920	Q140
Asia	Male	Protestant	702070841	Q140
Asia	Male	Protestant	360073138	Q140
Asia	Male	Protestant	608070429	Q140
Asia	Male	Protestant	360073171	Q140
Asia	Male	Protestant	104070753	Q140
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	608070493	Q140
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070950	Q140
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	608070291	Q140
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	608070285	Q140
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070869	Q140
Asia	Male	Hindu	360072362	Q140
Asia	Male	Hindu	702071262	Q140
Asia	Male	Hindu	50070680	Q140
Asia	Male	Hindu	360072390	Q140
Asia	Male	Hindu	458070286	Q140
Asia	Female	Muslim	417070800	Q140
Asia	Female	Muslim	400070695	Q140
Asia	Female	Muslim	586071007	Q140
Asia	Female	Muslim	360072023	Q140
Asia	Female	Muslim	792072363	Q140
Asia	Female	Other	158070622	Q140
Asia	Female	Other	158071216	Q140
Asia	Female	Other	158071086	Q140
Asia	Female	Other	158070142	Q140
Asia	Female	Other	608070582	Q140
Asia	Female	Orthodox (Russian/Greek/etc.)	398071022	Q140
Asia	Female	Orthodox (Russian/Greek/etc.)	398070979	Q140
Asia	Female	Orthodox (Russian/Greek/etc.)	764070189	Q140
Asia	Female	Orthodox (Russian/Greek/etc.)	398071220	Q140
Asia	Female	Orthodox (Russian/Greek/etc.)	398070464	Q140
Asia	Female	Do not belong to a denomination	410070418	Q140
Asia	Female	Do not belong to a denomination	496071461	Q140
Asia	Female	Do not belong to a denomination	446070836	Q140
Asia	Female	Do not belong to a denomination	704071187	Q140
Asia	Female	Do not belong to a denomination	496070943	Q140
Asia	Female	Roman Catholic	422070928	Q140
Asia	Female	Roman Catholic	344071071	Q140
Asia	Female	Roman Catholic	608070756	Q140
